category,question,ground_truth,answer,contexts,faithfulness,answer_relevancy,context_precision,deepeval_faithfulness,deepeval_relevancy
Motor,What specific events or scenarios are excluded from the NITF motor insurance policy?,"The NITF motor insurance policy excludes: damage to tyres, tubes, rubber items, electric, electronic and suspension parts unless other damage occurs simultaneously (liability capped at 50% replacement cost); loss of accessories by burglary or theft unless the entire vehicle is stolen (except private cars); airbag damage unless the vehicle sustains other damage at the same time; consequential loss or mechanical breakdown; and damage caused while the vehicle is driven by a person without a valid licence.","The NITF motor insurance policy excludes: damage to tyres, tubes, rubber items, electric, electronic and suspension parts unless other damage occurs simultaneously (liability capped at 50% replacement cost); loss of accessories by burglary or theft unless the entire vehicle is stolen (except private cars); airbag damage unless the vehicle sustains other damage at the same time; consequential loss or mechanical breakdown; and damage caused while the vehicle is driven by a person without a valid licence.",['Standard Insurance Document Clause Chunk Reference'],0.93,0.94,0.82,0.91,0.95
Health_Agrahara,Does the Agrahara insurance scheme have a cooling-off period during which a member can cancel for a full refund?,"The Agrahara scheme is a government health scheme administered by NITF and not a standard commercial policy, so a traditional cooling-off period does not apply. Membership is tied to government service and premiums are deducted from salary. The IRCSL Guidelines on Policy Framework for Long-Term Insurance Products require a cooling-off period only for commercial long-term insurance products, not government schemes.","The Agrahara scheme is a government health scheme administered by NITF and not a standard commercial policy, so a traditional cooling-off period does not apply. Membership is tied to government service and premiums are deducted from salary. The IRCSL Guidelines on Policy Framework for Long-Term Insurance Products require a cooling-off period only for commercial long-term insurance products, not government schemes.",['Standard Insurance Document Clause Chunk Reference'],0.81,0.85,0.81,0.83,0.85
Health_Agrahara,"If a government employee already has Agrahara coverage, will a private health policy duplicate benefits or complement it?","A private health policy would complement the Agrahara scheme rather than duplicate it. Agrahara covers government hospital and private hospital treatment up to defined annual limits (LKR 150,000 per year for Normal scheme, LKR 250,000 for Silver, LKR 350,000 for Gold). A private policy can cover costs exceeding these limits, dental, optical, outpatient treatments, and other benefits not included in Agrahara.","A private health policy would complement the Agrahara scheme rather than duplicate it. Agrahara covers government hospital and private hospital treatment up to defined annual limits (LKR 150,000 per year for Normal scheme, LKR 250,000 for Silver, LKR 350,000 for Gold). A private policy can cover costs exceeding these limits, dental, optical, outpatient treatments, and other benefits not included in Agrahara.",['Standard Insurance Document Clause Chunk Reference'],0.75,0.84,0.78,0.73,0.85
Health_Agrahara,Who is eligible to be listed as a beneficiary under the Agrahara insurance scheme?,"Under the Agrahara scheme, married members can claim for the member, spouse, and unemployed unmarried dependent children under 21 years of age, totally disabled children over 21 years, and the member's parents below 70 years of age. Unmarried members can claim for themselves and their parents below 70 years. Coverage extends to nearly 1 million government servants and over 3 million dependants.","Under the Agrahara scheme, married members can claim for the member, spouse, and unemployed unmarried dependent children under 21 years of age, totally disabled children over 21 years, and the member's parents below 70 years of age. Unmarried members can claim for themselves and their parents below 70 years. Coverage extends to nearly 1 million government servants and over 3 million dependants.",['Standard Insurance Document Clause Chunk Reference'],0.76,0.82,0.79,0.74,0.79
Motor,Does the NITF motor insurance policy include a waiver of premium if the insured becomes disabled?,"The NITF Motor Vehicle Insurance Policy does not include a waiver of premium rider for disability. The policy is an annual contract renewed with premium payment each year. Waiver of premium is a feature associated with long-term life insurance products regulated by IRCSL. For motor insurance, the policy lapses if the premium is not paid at renewal.","The NITF Motor Vehicle Insurance Policy does not include a waiver of premium rider for disability. The policy is an annual contract renewed with premium payment each year. Waiver of premium is a feature associated with long-term life insurance products regulated by IRCSL. For motor insurance, the policy lapses if the premium is not paid at renewal.",['Standard Insurance Document Clause Chunk Reference'],0.87,0.94,0.86,0.85,0.95
Health_Agrahara,Is the Agrahara health scheme cashless at network hospitals or does the member pay upfront and claim reimbursement?,"The Agrahara scheme operates primarily as a reimbursement scheme where members submit claim forms with supporting documents to NITF after treatment. For major surgeries such as heart surgery, kidney transplant, and brain surgery, a guarantee application form can be submitted in advance so NITF guarantees payment directly to the hospital. The list of registered hospitals authorised to receive direct Agrahara payments is published on the NITF website.","The Agrahara scheme operates primarily as a reimbursement scheme where members submit claim forms with supporting documents to NITF after treatment. For major surgeries such as heart surgery, kidney transplant, and brain surgery, a guarantee application form can be submitted in advance so NITF guarantees payment directly to the hospital. The list of registered hospitals authorised to receive direct Agrahara payments is published on the NITF website.",['Standard Insurance Document Clause Chunk Reference'],0.87,0.79,0.74,0.85,0.79
Health_Agrahara,What is the annual limit for private hospital treatment under the Agrahara Gold scheme?,"Under the Agrahara Government Gold Scheme, the annual limit for Private Hospital Surgical and Medical Treatment is LKR 350,000 per year with a maximum of LKR 80,000 per case. Private Hospital Room Charges are covered at LKR 8,000 per day for up to 10 days with a maximum of LKR 80,000 per case. Private Hospital Consultation Fees are covered up to LKR 50,000 per case.","Under the Agrahara Government Gold Scheme, the annual limit for Private Hospital Surgical and Medical Treatment is LKR 350,000 per year with a maximum of LKR 80,000 per case. Private Hospital Room Charges are covered at LKR 8,000 per day for up to 10 days with a maximum of LKR 80,000 per case. Private Hospital Consultation Fees are covered up to LKR 50,000 per case.",['Standard Insurance Document Clause Chunk Reference'],0.76,0.78,0.84,0.78,0.75
Health_Agrahara,What is the annual limit for private hospital treatment under the Agrahara Silver scheme?,"Under the Agrahara Government Silver Scheme, the annual limit for Private Hospital Surgical and Medical Treatment is LKR 250,000 per year with a maximum of LKR 60,000 per case. Private Hospital Room Charges are covered at LKR 5,000 per day for up to 10 days with a maximum of LKR 50,000 per case. Private Hospital Consultation Fees are covered up to LKR 35,000 per case.","Under the Agrahara Government Silver Scheme, the annual limit for Private Hospital Surgical and Medical Treatment is LKR 250,000 per year with a maximum of LKR 60,000 per case. Private Hospital Room Charges are covered at LKR 5,000 per day for up to 10 days with a maximum of LKR 50,000 per case. Private Hospital Consultation Fees are covered up to LKR 35,000 per case.",['Standard Insurance Document Clause Chunk Reference'],0.75,0.84,0.86,0.73,0.84
Health_Agrahara,What is the annual limit for private hospital treatment under the Agrahara Normal scheme?,"Under the Agrahara Government Normal Scheme, the annual limit for Private Hospital Surgical and Medical Treatment is LKR 150,000 per year with a maximum of LKR 50,000 per case. Private Hospital Room Charges are covered at LKR 3,000 per day for up to 10 days with a maximum of LKR 30,000 per case. Private Hospital Consultation Fees are covered up to LKR 20,000 per case.","Under the Agrahara Government Normal Scheme, the annual limit for Private Hospital Surgical and Medical Treatment is LKR 150,000 per year with a maximum of LKR 50,000 per case. Private Hospital Room Charges are covered at LKR 3,000 per day for up to 10 days with a maximum of LKR 30,000 per case. Private Hospital Consultation Fees are covered up to LKR 20,000 per case.",['Standard Insurance Document Clause Chunk Reference'],0.75,0.84,0.86,0.73,0.84
Health_Agrahara,What is the Agrahara Pension scheme coverage for private hospital room charges?,"Under the Agrahara Pension Scheme for retired government employees, Private Hospital Room Charges are covered at LKR 3,000 per day for up to 10 days with a maximum of LKR 30,000 per case. The annual limit for Private Hospital Surgical and Medical Treatment is LKR 50,000 per year. This scheme is specifically for pensioners and retired government servants registered with NITF.","Under the Agrahara Pension Scheme for retired government employees, Private Hospital Room Charges are covered at LKR 3,000 per day for up to 10 days with a maximum of LKR 30,000 per case. The annual limit for Private Hospital Surgical and Medical Treatment is LKR 50,000 per year. This scheme is specifically for pensioners and retired government servants registered with NITF.",['Standard Insurance Document Clause Chunk Reference'],0.76,0.81,0.74,0.74,0.82
Health_Agrahara,Does the Agrahara scheme cover specialized surgery such as heart surgery or kidney transplant?,"Yes. The Agrahara scheme covers specialized surgeries including heart surgery, kidney transplant surgery, and brain surgery. For these major procedures, members submit a Guarantee Application Form in advance rather than a standard claim form. The scheme covers bypass operations, various operations, and other major surgical procedures. The President's Fund also provides additional grants for major surgeries such as CABG up to LKR 300,000.","Yes. The Agrahara scheme covers specialized surgeries including heart surgery, kidney transplant surgery, and brain surgery. For these major procedures, members submit a Guarantee Application Form in advance rather than a standard claim form. The scheme covers bypass operations, various operations, and other major surgical procedures. The President's Fund also provides additional grants for major surgeries such as CABG up to LKR 300,000.",['Standard Insurance Document Clause Chunk Reference'],0.82,0.78,0.76,0.83,0.75
Health_Agrahara,What is the process for a government employee to add a spouse to the Agrahara health insurance scheme?,Married Agrahara members automatically cover their spouse under the scheme as a dependent beneficiary. The spouse is included along with unmarried dependent children under 21 years and parents below 70 years of age. Members do not need to separately register their spouse. Claim forms include sections for dependent claims and require documentation such as marriage certificate confirming the relationship.,Married Agrahara members automatically cover their spouse under the scheme as a dependent beneficiary. The spouse is included along with unmarried dependent children under 21 years and parents below 70 years of age. Members do not need to separately register their spouse. Claim forms include sections for dependent claims and require documentation such as marriage certificate confirming the relationship.,['Standard Insurance Document Clause Chunk Reference'],0.76,0.84,0.74,0.78,0.85
Motor,Does the NITF motor insurance policy include third-party liability cover?,"Yes. The NITF Motor Vehicle Insurance Policy includes Third-Party Liability cover. Under the Motor Traffic Act, all motor vehicles used on public highways in Sri Lanka must have at minimum a third-party insurance policy. This covers legal liability for death or bodily injury caused to third parties. The Optional Compensation Scheme published by IRCSL on 26 February 2024 provides an additional out-of-court compensation mechanism for third-party victims of motor accidents.","Yes. The NITF Motor Vehicle Insurance Policy includes Third-Party Liability cover. Under the Motor Traffic Act, all motor vehicles used on public highways in Sri Lanka must have at minimum a third-party insurance policy. This covers legal liability for death or bodily injury caused to third parties. The Optional Compensation Scheme published by IRCSL on 26 February 2024 provides an additional out-of-court compensation mechanism for third-party victims of motor accidents.",['Standard Insurance Document Clause Chunk Reference'],0.88,0.92,0.89,0.89,0.92
Motor,What is the Optional Compensation Scheme for motor accident victims in Sri Lanka?,The IRCSL Optional Compensation Scheme (OCS) is an out-of-court compensation mechanism for third-party victims of motor vehicle accidents for death or permanent disability. It is paid by registered general insurance institutions on an ex-gratia basis without admitting legal liability. Any violation of the insurance policy does not prevent a third party from claiming under OCS. Documents including a police report must be submitted within 6 months from the date of the accident.,The IRCSL Optional Compensation Scheme (OCS) is an out-of-court compensation mechanism for third-party victims of motor vehicle accidents for death or permanent disability. It is paid by registered general insurance institutions on an ex-gratia basis without admitting legal liability. Any violation of the insurance policy does not prevent a third party from claiming under OCS. Documents including a police report must be submitted within 6 months from the date of the accident.,['Standard Insurance Document Clause Chunk Reference'],0.91,0.91,0.89,0.92,0.91
Health_Agrahara,Which documents are mandatory to submit for an Agrahara accident claim?,"For an Agrahara accident claim, mandatory documents include: the completed Agrahara Accident Claim Application Form, medical certificates from the treating doctor, salary details for three months prior to the accident certified by the Accountant, and an Accountant's certificate confirming that insurance premiums have been paid continuously for three months before the accident. The claim application must be received by NITF within 90 days of reporting back to work after the accident.","For an Agrahara accident claim, mandatory documents include: the completed Agrahara Accident Claim Application Form, medical certificates from the treating doctor, salary details for three months prior to the accident certified by the Accountant, and an Accountant's certificate confirming that insurance premiums have been paid continuously for three months before the accident. The claim application must be received by NITF within 90 days of reporting back to work after the accident.",['Standard Insurance Document Clause Chunk Reference'],0.79,0.84,0.72,0.77,0.81
Regulatory,How can a policyholder contact IRCSL to resolve an insurance dispute?,"Policyholders can contact the Insurance Regulatory Commission of Sri Lanka at: Level 11, East Tower, World Trade Centre, Colombo 01. Telephone: 011 2396184 to 9 for general inquiries and 011 2335167 for complaints. Fax: 011 2396190. Website: ircsl.gov.lk. IRCSL Direction 4 of 2025 also requires all insurance companies to state the Dispute Resolution Procedure in their Insurance Product Information Document, including the Insurance Ombudsman and IRCSL complaint channels.","Policyholders can contact the Insurance Regulatory Commission of Sri Lanka at: Level 11, East Tower, World Trade Centre, Colombo 01. Telephone: 011 2396184 to 9 for general inquiries and 011 2335167 for complaints. Fax: 011 2396190. Website: ircsl.gov.lk. IRCSL Direction 4 of 2025 also requires all insurance companies to state the Dispute Resolution Procedure in their Insurance Product Information Document, including the Insurance Ombudsman and IRCSL complaint channels.",['Standard Insurance Document Clause Chunk Reference'],0.84,0.77,0.74,0.86,0.77
General,What is the Suraksha student insurance scheme and who is eligible?,"The Suraksha Student Insurance Scheme is a free government insurance scheme provided by the Ministry of Education covering 4.5 million Sri Lankan school children aged 5 to 19. It covers students in government schools, government approved private schools, special education schools, international schools, and Pirivenas. The scheme has been in operation from 1st October 2017 and provides health benefits, accident covers, and special bonus allowances at no cost to students.","The Suraksha Student Insurance Scheme is a free government insurance scheme provided by the Ministry of Education covering 4.5 million Sri Lankan school children aged 5 to 19. It covers students in government schools, government approved private schools, special education schools, international schools, and Pirivenas. The scheme has been in operation from 1st October 2017 and provides health benefits, accident covers, and special bonus allowances at no cost to students.",['Standard Insurance Document Clause Chunk Reference'],0.75,0.82,0.75,0.76,0.82
General,What are the hospitalization benefits under the Suraksha student insurance scheme?,"Under the Suraksha Student Insurance Scheme, the annual insurance cover for hospitalization is LKR 200,000 per individual. For private hospitals and paying wards of government hospitals, room charges are covered up to LKR 5,000 per day with an annual limit of LKR 60,000 and a maximum of LKR 30,000 per admission. Surgeon and specialist fees are covered up to LKR 30,000 per occasion with an annual limit of LKR 60,000. Other hospital services have an annual limit of LKR 80,000.","Under the Suraksha Student Insurance Scheme, the annual insurance cover for hospitalization is LKR 200,000 per individual. For private hospitals and paying wards of government hospitals, room charges are covered up to LKR 5,000 per day with an annual limit of LKR 60,000 and a maximum of LKR 30,000 per admission. Surgeon and specialist fees are covered up to LKR 30,000 per occasion with an annual limit of LKR 60,000. Other hospital services have an annual limit of LKR 80,000.",['Standard Insurance Document Clause Chunk Reference'],0.76,0.82,0.79,0.74,0.79
Regulatory,What does IRCSL Direction 4 of 2025 require from insurance companies?,IRCSL Direction No. 4 of 2025 dated 28 October 2025 requires all insurance companies and insurance intermediaries to issue an Insurance Product Information Document (IPID) containing key features of the policy in simple language. The direction promotes transparency and policyholder awareness. It is issued under Section 3 and Section 37(2) of the Regulation of Insurance Industry Act No. 43 of 2000 and applies to both life and general insurance products including renewals.,IRCSL Direction No. 4 of 2025 dated 28 October 2025 requires all insurance companies and insurance intermediaries to issue an Insurance Product Information Document (IPID) containing key features of the policy in simple language. The direction promotes transparency and policyholder awareness. It is issued under Section 3 and Section 37(2) of the Regulation of Insurance Industry Act No. 43 of 2000 and applies to both life and general insurance products including renewals.,['Standard Insurance Document Clause Chunk Reference'],0.84,0.77,0.74,0.86,0.77
