question,answer,ground_truth,category
What specific events or scenarios are excluded from the NITF motor insurance policy?,"The NITF motor insurance policy excludes liability in respect of death, injury, or damage caused or arising beyond the limits of any carriageway or thoroughfare in connection with the bringing of the load to such vehicle for loading thereon or the taking away of the load from such vehicle after unloading therefrom.

This exclusion is stated in the policy document under Clause 2 – Third Party Fire and Theft, and is also mentioned in the web context from the IRCSL website.

Source citations:
- Clause 2 – Third Party Fire and Theft in the Motor Insurance Policy document (SOURCE: Motor_Insurance_Policy_EN.pdf)
- IRCSL website (WEB: https://ircsl.gov.lk/insurance-legislation/directions)","The NITF motor insurance policy excludes: damage to tyres, tubes, rubber items, electric, electronic and suspension parts unless other damage occurs simultaneously (liability capped at 50% replacement cost); loss of accessories by burglary or theft unless the entire vehicle is stolen (except private cars); airbag damage unless the vehicle sustains other damage at the same time; consequential loss or mechanical breakdown; and damage caused while the vehicle is driven by a person without a valid licence.",Motor
Does the Agrahara insurance scheme have a cooling-off period during which a member can cancel for a full refund?,"Yes, the Agrahara insurance scheme allows for a refund of premium after cancellation of the policy.

The refund of premium is allowed after cancellation of the policy, with the exact details not specified in the provided context. However, according to the Facebook post from NITF, ""In case insured is not satisfied he can seek cancellation of the policy and in such event the Company will allow refund of premium after...""

Source: [WEB: https://www.facebook.com/nitf.lk/posts/agrahara-insurance-goldsilver/1393117810715191]","The Agrahara scheme is a government health scheme administered by NITF and not a standard commercial policy, so a traditional cooling-off period does not apply. Membership is tied to government service and premiums are deducted from salary. The IRCSL Guidelines on Policy Framework for Long-Term Insurance Products require a cooling-off period only for commercial long-term insurance products, not government schemes.",Health_Agrahara
"If a government employee already has Agrahara coverage, will a private health policy duplicate benefits or complement it?","A private health policy will complement Agrahara coverage, providing additional benefits and protection.

The Agrahara scheme offers a range of benefits, including inpatient care, accidental death insurance, and medical treatment for various conditions, but it may not cover all medical expenses or provide the same level of coverage as a private health policy. [SOURCE: The Agrahara Social Health Insurance scheme in Sri Lanka aims to provide financial protection to public sector pensioners. The Agrahara scheme aims to improve the standard of living for public service employees and their families. The Agrahara Scheme provides comprehensive healthcare coverage to public sector employees in Sri Lanka. The scheme covers approximately 700,000 employees and their dependents, offering a range of benefits including inpatient care, accidental death insurance, and medical treatment for various conditions such as cancer, cardiac problems, kidney issues, and paralysis. The Agrahara Scheme offers a wider range of benefits than other schemes, with both public sector and private sector health providers participating in the program. The Agrahara Pension Scheme, launched as part of the Silver and Gold schemes, primarily caters to a small segment of the population, covering only about three percent of Sri Lanka's total populace, excluding armed forces. Agrahara gold scheme benefits pdf.]

A private health policy can provide additional coverage for expenses not covered by Agrahara, such as out-of-pocket expenses, deductibles, or copayments. [SOURCE: Agrahara is a government insurance scheme offering state employees and dependents exclusive private healthcare benefits at Asiri Hospitals across Sri Lanka.]

It's essential to review the terms and conditions of both policies to understand how they interact and ensure that you have adequate coverage. [SOURCE: Agrahara is a government insurance scheme offering state employees and dependents exclusive private healthcare benefits at Asiri Hospitals across Sri Lanka.]

In terms of specific benefits, Agrahara provides a maximum amount of Rs. for private hospital room charges, with a limit of Rs. per year and Rs. per lifetime. [SOURCE: Agrahara Pension Scheme TYPE OF BENEFIT MAX AMOUNT (PER CASE) RS. DURATION RATE (PER DATE) RS. LIMIT (PER YEAR) RS. LIMIT (PER LIFETIME) RS.]

A private health policy can provide additional benefits, such as coverage for pre-existing conditions, maternity care, or alternative therapies, which may not be covered by Agrahara. [SOURCE: Agrahara is a government insurance scheme offering state employees and dependents exclusive private healthcare benefits at Asiri Hospitals","A private health policy would complement the Agrahara scheme rather than duplicate it. Agrahara covers government hospital and private hospital treatment up to defined annual limits (LKR 150,000 per year for Normal scheme, LKR 250,000 for Silver, LKR 350,000 for Gold). A private policy can cover costs exceeding these limits, dental, optical, outpatient treatments, and other benefits not included in Agrahara.",Health_Agrahara
Who is eligible to be listed as a beneficiary under the Agrahara insurance scheme?,"The eligible beneficiaries under the Agrahara insurance scheme include the policyholder's spouse, children, and parents.

The policyholder's spouse is eligible for coverage under the Agrahara insurance scheme, as stated in the National Insurance Trust Fund Board Act No 28 of 2006 [1]. The spouse is entitled to receive medical benefits and other services under the scheme.

Children of the policyholder are also eligible for coverage under the Agrahara insurance scheme. According to the Lanka Hospitals website, certified copies of birth certificates are required to claim benefits for children [2].

Additionally, the policyholder's parents are eligible for coverage under the Agrahara insurance scheme. Certified photocopies of birth certificates and NICs of the insured person are required to claim benefits for parents [2].

[1] National Insurance Trust Fund Board Act No 28 of 2006
[2] Lanka Hospitals website: https://www.lankahospitals.com/agrahara","Under the Agrahara scheme, married members can claim for the member, spouse, and unemployed unmarried dependent children under 21 years of age, totally disabled children over 21 years, and the member's parents below 70 years of age. Unmarried members can claim for themselves and their parents below 70 years. Coverage extends to nearly 1 million government servants and over 3 million dependants.",Health_Agrahara
Does the NITF motor insurance policy include a waiver of premium if the insured becomes disabled?,"The NITF motor insurance policy does not explicitly mention a waiver of premium for disability.

The policy does not include a waiver of premium clause, which would release the insured from paying premiums if they are seriously injured or disabled. This is in contrast to life insurance policies, which may include such a clause (Source: [WEB: https://www.investopedia.com/terms/w/waiver-of-premium-for-disability.asp] and [WEB: https://www.maddoxfirm.com/post/life-insurance-waiver-of-premium]).

However, the policy does mention that the NITF may pay to the insured the full amount of the NITF's liability under certain circumstances, including if the insured is driving a motor vehicle and is not entitled to indemnity under any other policy (Source: [SOURCE: Motor_Insurance_Policy_EN.pdf], Page 4).

The policy also states that the insured shall take all responsible steps to maintain the motor vehicle in efficient condition, and the NITF shall have at all times free and full access to examine the motor vehicle (Source: [SOURCE: Motor_Insurance_Policy_EN.pdf], Page 9).

It is essential to note that the policy does not provide specific information on waiver of premium for disability, and it is recommended to consult the policy documents or contact the NITF directly for clarification.","The NITF Motor Vehicle Insurance Policy does not include a waiver of premium rider for disability. The policy is an annual contract renewed with premium payment each year. Waiver of premium is a feature associated with long-term life insurance products regulated by IRCSL. For motor insurance, the policy lapses if the premium is not paid at renewal.",Motor
Is the Agrahara health scheme cashless at network hospitals or does the member pay upfront and claim reimbursement?,"The Agrahara health scheme is cashless at network hospitals.

The scheme provides cashless treatment at private hospitals, with no upfront payment required from the member. This is stated on the Lanka Hospitals website, which mentions that they have partnered with the NITF to offer superior healthcare services to government employees and their families, leaving no additional burdens or anxieties on individuals attached to the public sector [1].

Additionally, the South Eastern University of Sri Lanka (SEUSL) website states that hospitalization in a private hospital is covered up to a maximum of Rs. 200,000 for a single event, with no mention of upfront payment or reimbursement [2].

Source:
[1] Lanka Hospitals website: https://www.lankahospitals.com/agrahara
[2] South Eastern University of Sri Lanka (SEUSL) website: https://www.seu.ac.lk/agrahara.php","The Agrahara scheme operates primarily as a reimbursement scheme where members submit claim forms with supporting documents to NITF after treatment. For major surgeries such as heart surgery, kidney transplant, and brain surgery, a guarantee application form can be submitted in advance so NITF guarantees payment directly to the hospital. The list of registered hospitals authorised to receive direct Agrahara payments is published on the NITF website.",Health_Agrahara
What is the annual limit for private hospital treatment under the Agrahara Gold scheme?,"The annual limit for private hospital treatment under the Agrahara Gold scheme is Rs. 350,000.

This limit is applicable for private hospital room charges, and the rate per day is Rs. 8,000.00. The maximum duration for hospitalization is 10 days per case. 

Source: [SOURCE: National Insurance Trust Fund agrahara gold.pdf] [Page 3]","Under the Agrahara Government Gold Scheme, the annual limit for Private Hospital Surgical and Medical Treatment is LKR 350,000 per year with a maximum of LKR 80,000 per case. Private Hospital Room Charges are covered at LKR 8,000 per day for up to 10 days with a maximum of LKR 80,000 per case. Private Hospital Consultation Fees are covered up to LKR 50,000 per case.",Health_Agrahara
What is the annual limit for private hospital treatment under the Agrahara Silver scheme?,"The annual limit for private hospital treatment under the Agrahara Silver scheme is Rs. 250,000.00.

This limit is specified in the Agrahara Semi Government Scheme, GOLD SCHEME (SEMI) DOWNL OAD, APPLICA TIONS, REGISTERED, INSTI TUTES section of the National Insurance Trust Fund agrahara-silver.pdf document, which states that the Limit (per Year) for private hospital room charges under the Agrahara Silver scheme is Rs. 250,000.00 [SOURCE: National Insurance Trust Fund agrahara-silver.pdf].","Under the Agrahara Government Silver Scheme, the annual limit for Private Hospital Surgical and Medical Treatment is LKR 250,000 per year with a maximum of LKR 60,000 per case. Private Hospital Room Charges are covered at LKR 5,000 per day for up to 10 days with a maximum of LKR 50,000 per case. Private Hospital Consultation Fees are covered up to LKR 35,000 per case.",Health_Agrahara
What is the annual limit for private hospital treatment under the Agrahara Normal scheme?,"The annual limit for private hospital treatment under the Agrahara Normal scheme is Rs. 350,000.00.

This limit is mentioned in the Agrahara Government Normal Scheme document on the National Insurance Trust Fund website (https://www.nitf.lk/en/agrahara.php) and also in the South Eastern University of Sri Lanka (SEUSL) website (https://www.seu.ac.lk/agrahara.php).","Under the Agrahara Government Normal Scheme, the annual limit for Private Hospital Surgical and Medical Treatment is LKR 150,000 per year with a maximum of LKR 50,000 per case. Private Hospital Room Charges are covered at LKR 3,000 per day for up to 10 days with a maximum of LKR 30,000 per case. Private Hospital Consultation Fees are covered up to LKR 20,000 per case.",Health_Agrahara
What is the Agrahara Pension scheme coverage for private hospital room charges?,"The Agrahara Pension scheme covers private hospital room charges up to Rs. 30,000.00 per case for a maximum duration of 10 days.

This coverage is as per the Agrahara Pension Scheme document, which states that the maximum amount for private hospital room charges is Rs. 30,000.00 per case, with a duration of 10 days (SOURCE: National Insurance Trust Fund pension.pdf).","Under the Agrahara Pension Scheme for retired government employees, Private Hospital Room Charges are covered at LKR 3,000 per day for up to 10 days with a maximum of LKR 30,000 per case. The annual limit for Private Hospital Surgical and Medical Treatment is LKR 50,000 per year. This scheme is specifically for pensioners and retired government servants registered with NITF.",Health_Agrahara
