question,answer,ground_truth,category
What specific events or scenarios are excluded from the NITF motor insurance policy?,"The NITF motor insurance policy excludes specific events or scenarios where the insured has other existing insurance covering the same loss, damage, or liability, and the NITF shall not be liable to pay or contribute more than its rateable proportion of any loss, damage, compensation, costs, or expenses, as stated in Section 2(A) and Section 2(C) of the Motor_Insurance_Policy_EN.pdf. 
The key figure in this context is not explicitly stated in terms of LKR amounts, but the policy outlines the proportion of liability. 
According to the Motor_Insurance_Policy_EN.pdf, the NITF shall not be liable to pay or contribute more than its rateable proportion, and this is applicable to both Private Cars and Motor Vehicles other than Private Cars or Motor Cycles, as mentioned in Sub-Section 3(a) of Section 2(A) and Sub-Section 3(a) of Section 2(C) of the policy. 
Additionally, the policy states that the NITF shall have at all times free and full access to examine the Motor Vehicle or any part thereof, as mentioned on Page 9 of the Motor_Insurance_Policy_EN.pdf. 
It is also important to note that the policy has specific clauses, such as CLAUSE 2 – THIRD PARTY FIRE AND THEFT, which outlines the terms and conditions of the policy, as stated in the Motor_Insurance_Policy_EN.pdf.","The NITF motor insurance policy excludes: damage to tyres, tubes, rubber items, electric, electronic and suspension parts unless other damage occurs simultaneously (liability capped at 50% replacement cost); loss of accessories by burglary or theft unless the entire vehicle is stolen (except private cars); airbag damage unless the vehicle sustains other damage at the same time; consequential loss or mechanical breakdown; and damage caused while the vehicle is driven by a person without a valid licence.",Motor
Does the Agrahara insurance scheme have a cooling-off period during which a member can cancel for a full refund?,"The Agrahara insurance scheme does not have a specified cooling-off period mentioned in the provided documents. 
The monthly contribution amount of the Agrahara insurance scheme is LKR 125/-, 300/-, or 600/-, as stated in the Agrahara Loan Gurranty Form(e).pdf. 
According to the National Insurance Trust Fund -agrahara.pdf, the Agrahara insurance scheme was introduced by the Ministry of Public Administration Circular No: 5/1997, but it does not mention a cooling-off period, and for more information, verification at ircsl.gov.lk is needed.","The Agrahara scheme is a government health scheme administered by NITF and not a standard commercial policy, so a traditional cooling-off period does not apply. Membership is tied to government service and premiums are deducted from salary. The IRCSL Guidelines on Policy Framework for Long-Term Insurance Products require a cooling-off period only for commercial long-term insurance products, not government schemes.",Health_Agrahara
"If a government employee already has Agrahara coverage, will a private health policy duplicate benefits or complement it?","A government employee with existing Agrahara coverage can consider a private health policy to complement their benefits, as it may provide additional coverage for expenses not fully covered by Agrahara. 
The key benefit of having a private health policy in addition to Agrahara is that it can help cover expenses such as private hospital room charges, which may have a limit under the Agrahara scheme, as seen in the National Insurance Trust Fund -agrahara.pdf document. 
According to the National Insurance Trust Fund pension.pdf, the NITF serves government servants and their dependants, paying for medical, accidents, and death claims, and the Agrahara Insurance scheme, introduced by the Ministry of Public Administration Circular No: 5/1997, is under the National Insurance Trust Fund from 1st of January 2006, as stated in the National Insurance Trust Fund -agrahara.pdf and National Insurance Trust Fund agrahara gold.pdf documents. 
To determine the exact benefits and potential duplication or complementation, it is recommended to review the specific terms and conditions of both the Agrahara coverage and the private health policy, as well as verify the information at ircsl.gov.lk if necessary.","A private health policy would complement the Agrahara scheme rather than duplicate it. Agrahara covers government hospital and private hospital treatment up to defined annual limits (LKR 150,000 per year for Normal scheme, LKR 250,000 for Silver, LKR 350,000 for Gold). A private policy can cover costs exceeding these limits, dental, optical, outpatient treatments, and other benefits not included in Agrahara.",Health_Agrahara
Who is eligible to be listed as a beneficiary under the Agrahara insurance scheme?,"The beneficiary under the Agrahara insurance scheme can be a person specified by the policyholder, with details such as names, NIC, and date of birth, as stated in the Guidelines-on-Policy-Framework-for-Long-Term-Insurance-Products.pdf. 
The key detail is that the policyholder has the flexibility to choose their beneficiary, with the insurer requiring details of the beneficiary for policy administration. 
According to the Guidelines-on-Policy-Framework-for-Long-Term-Insurance-Products.pdf, specifically section g, the details of the beneficiary, including names, NIC, and date of birth, are required, and this information should be referenced in the policy document, as per the Guidelines-on-Policy-Framework-for-Long-Term-Insurance-Products.pdf.","Under the Agrahara scheme, married members can claim for the member, spouse, and unemployed unmarried dependent children under 21 years of age, totally disabled children over 21 years, and the member's parents below 70 years of age. Unmarried members can claim for themselves and their parents below 70 years. Coverage extends to nearly 1 million government servants and over 3 million dependants.",Health_Agrahara
Does the NITF motor insurance policy include a waiver of premium if the insured becomes disabled?,"The NITF motor insurance policy does not include a waiver of premium if the insured becomes disabled. 
The key detail is that the policy focuses on indemnifying the insured for damages or losses, with no mention of a waiver of premium in the event of disability.
According to the Motor_Insurance_Policy_EN.pdf, the policy outlines various terms and conditions, including the right of recovery and the obligations of the insured, but it does not mention a waiver of premium due to disability, as seen on pages 4, 6, and 9 of the document.","The NITF Motor Vehicle Insurance Policy does not include a waiver of premium rider for disability. The policy is an annual contract renewed with premium payment each year. Waiver of premium is a feature associated with long-term life insurance products regulated by IRCSL. For motor insurance, the policy lapses if the premium is not paid at renewal.",Motor
Is the Agrahara health scheme cashless at network hospitals or does the member pay upfront and claim reimbursement?,"The Agrahara health scheme offers cashless facilities at network hospitals, as the National Insurance Trust Fund pays for medical claims submitted by its members. 
The key benefit of this scheme is that it covers various medical expenses, including hospitalizations, childbirth, and operations, up to certain limits, such as the MAX AMOUNT (PER CASE) in LKR, as stated in the source documents, including Agrahara_Claim_Form(e).pdf, National Insurance Trust Fund pension.pdf, and other Agrahara scheme documents. 
According to the National Insurance Trust Fund pension.pdf, the NITF pays for all medical claims, including hospitalizations, submitted by its members, indicating a cashless facility at network hospitals. 
However, the exact terms and conditions of the cashless facility, including the list of network hospitals and the claim process, need to be verified at ircsl.gov.lk or through the National Insurance Trust Fund's official documents, such as Agrahara_Claim_Form(e).pdf, National Insurance Trust Fund pension.pdf, National Insurance Trust Fund agrahara-silver.pdf, National Insurance Trust Fund agrahara gold.pdf, and National Insurance Trust Fund- agrahara gov-normal.pdf.","The Agrahara scheme operates primarily as a reimbursement scheme where members submit claim forms with supporting documents to NITF after treatment. For major surgeries such as heart surgery, kidney transplant, and brain surgery, a guarantee application form can be submitted in advance so NITF guarantees payment directly to the hospital. The list of registered hospitals authorised to receive direct Agrahara payments is published on the NITF website.",Health_Agrahara
What is the annual limit for private hospital treatment under the Agrahara Gold scheme?,"The annual limit for private hospital treatment under the Agrahara Gold scheme is LKR 350,000.00. 
The key figure for the annual limit is LKR 350,000.00, and the maximum amount per case is LKR 80,000.00, as stated in the Agrahara Gold scheme document (SOURCE: National Insurance Trust Fund agrahara gold.pdf). 
According to the document, the Agrahara Gold scheme provides a maximum amount of LKR 80,000.00 per case, with a duration of 10 days, and a rate of LKR 8,000.00 per day, with an annual limit of LKR 350,000.00.","Under the Agrahara Government Gold Scheme, the annual limit for Private Hospital Surgical and Medical Treatment is LKR 350,000 per year with a maximum of LKR 80,000 per case. Private Hospital Room Charges are covered at LKR 8,000 per day for up to 10 days with a maximum of LKR 80,000 per case. Private Hospital Consultation Fees are covered up to LKR 50,000 per case.",Health_Agrahara
What is the annual limit for private hospital treatment under the Agrahara Silver scheme?,"The annual limit for private hospital treatment under the Agrahara Silver scheme is LKR 250,000.00. 
The key figure for the annual limit is LKR 250,000.00, as stated in the Agrahara Silver scheme document. 
According to the National Insurance Trust Fund document, agrahara-silver.pdf, the Type of Benefit for private hospital room charges has a Limit (per Year) of Rs. 250,000.00, which applies to the annual limit for private hospital treatment under this scheme.","Under the Agrahara Government Silver Scheme, the annual limit for Private Hospital Surgical and Medical Treatment is LKR 250,000 per year with a maximum of LKR 60,000 per case. Private Hospital Room Charges are covered at LKR 5,000 per day for up to 10 days with a maximum of LKR 50,000 per case. Private Hospital Consultation Fees are covered up to LKR 35,000 per case.",Health_Agrahara
What is the annual limit for private hospital treatment under the Agrahara Normal scheme?,"The annual limit for private hospital treatment under the Agrahara Normal scheme is LKR 150,000.00. 
The key figure for the annual limit is LKR 150,000.00, as per the National Insurance Trust Fund-agrahara gov-normal.pdf document. 
According to the National Insurance Trust Fund-agrahara gov-normal.pdf, the Type of Benefit is Pvt Hospital Sur gical & Medical Treatment, with a Max Amount per case of LKR 50,000.00, and the Limit per Year is LKR 150,000.00, as stated on the National Insurance Trust Fund website at https://www.nitf.lk/en/agrahara.php.","Under the Agrahara Government Normal Scheme, the annual limit for Private Hospital Surgical and Medical Treatment is LKR 150,000 per year with a maximum of LKR 50,000 per case. Private Hospital Room Charges are covered at LKR 3,000 per day for up to 10 days with a maximum of LKR 30,000 per case. Private Hospital Consultation Fees are covered up to LKR 20,000 per case.",Health_Agrahara
What is the Agrahara Pension scheme coverage for private hospital room charges?,"The Agrahara Pension scheme covers private hospital room charges up to a maximum amount of LKR 30,000.00 per case. 
The key coverage detail is LKR 30,000.00, with a duration of 10 days and a rate of LKR 3,000.00 per day. 
According to the National Insurance Trust Fund pension.pdf and National Insurance Trust Fund-agrahara -semi-gold.pdf, the Type of Benefit for private hospital room charges has a Max Amount of LKR 30,000.00, Duration of 10 days, and Rate of LKR 3,000.00 per day, with no specified Limit per Year or Lifetime.","Under the Agrahara Pension Scheme for retired government employees, Private Hospital Room Charges are covered at LKR 3,000 per day for up to 10 days with a maximum of LKR 30,000 per case. The annual limit for Private Hospital Surgical and Medical Treatment is LKR 50,000 per year. This scheme is specifically for pensioners and retired government servants registered with NITF.",Health_Agrahara
